,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
1742,Rahul Dravid,India,107,314,218,12,0,49.08,3,caught,1,v Sri Lanka,Colombo (SSC),24 Feb 1999
1743,Rahul Dravid,India,DNB,-,-,-,-,-,-,-,3,v Sri Lanka,Colombo (SSC),24 Feb 1999
1744,Rahul Dravid,India,1,6,8,0,0,12.50,3,caught,1,v New Zealand,Mohali,10 Oct 1999
1745,Rahul Dravid,India,144,418,327,18,0,44.03,3,bowled,3,v New Zealand,Mohali,10 Oct 1999
1746,Rahul Dravid,India,48,193,148,7,0,32.43,3,caught,2,v New Zealand,Kanpur,22 Oct 1999
1747,Rahul Dravid,India,1,5,9,0,0,11.11,3,lbw,4,v New Zealand,Kanpur,22 Oct 1999
1748,Rahul Dravid,India,33,87,64,6,0,51.56,3,caught,1,v New Zealand,Ahmedabad,29 Oct 1999
1749,Rahul Dravid,India,12,43,20,0,0,60.00,3,run out,3,v New Zealand,Ahmedabad,29 Oct 1999
1750,Rahul Dravid,India,35,166,126,1,0,27.77,4,caught,2,v Australia,Adelaide,10 Dec 1999
1751,Rahul Dravid,India,6,29,16,0,0,37.50,4,caught,4,v Australia,Adelaide,10 Dec 1999
1752,Rahul Dravid,India,9,55,36,1,0,25.00,3,caught,2,v Australia,Melbourne,26 Dec 1999
1753,Rahul Dravid,India,14,160,109,0,0,12.84,3,caught,4,v Australia,Melbourne,26 Dec 1999
1754,Rahul Dravid,India,29,102,74,1,0,39.18,3,caught,1,v Australia,Sydney,2 Jan 2000
1755,Rahul Dravid,India,0,9,7,0,0,0.00,3,caught,3,v Australia,Sydney,2 Jan 2000
1756,Rahul Dravid,India,22,111,79,4,0,27.84,3,bowled,1,v South Africa,Mumbai,24 Feb 2000
1757,Rahul Dravid,India,37,187,127,6,0,29.13,3,bowled,3,v South Africa,Mumbai,24 Feb 2000
1758,Rahul Dravid,India,17,112,75,2,0,22.66,2,caught,1,v South Africa,Bengaluru,2 Mar 2000
1759,Rahul Dravid,India,18,78,61,3,0,29.50,1,caught,3,v South Africa,Bengaluru,2 Mar 2000
1760,Rahul Dravid,India,28,71,48,5,0,58.33,4,caught,2,v Bangladesh,Dhaka,10 Nov 2000
1761,Rahul Dravid,India,41*,50,49,5,1,83.67,3,not out,4,v Bangladesh,Dhaka,10 Nov 2000
1762,Rahul Dravid,India,200*,541,350,27,0,57.14,3,not out,2,v Zimbabwe,Delhi,18 Nov 2000
1763,Rahul Dravid,India,70*,152,91,8,0,76.92,3,not out,4,v Zimbabwe,Delhi,18 Nov 2000
1764,Rahul Dravid,India,162,402,301,20,1,53.82,3,caught,1,v Zimbabwe,Nagpur,25 Nov 2000
1765,Rahul Dravid,India,9,33,19,1,0,47.36,3,caught,1,v Australia,Mumbai,27 Feb 2001
1766,Rahul Dravid,India,39,259,196,5,0,19.89,3,bowled,3,v Australia,Mumbai,27 Feb 2001
1767,Rahul Dravid,India,25,115,82,4,0,30.48,3,bowled,2,v Australia,Kolkata,11 Mar 2001
1768,Rahul Dravid,India,180,446,353,20,0,50.99,6,run out,3,v Australia,Kolkata,11 Mar 2001
1769,Rahul Dravid,India,81,178,140,12,1,57.85,6,caught,2,v Australia,Chennai,18 Mar 2001
1770,Rahul Dravid,India,4,8,5,1,0,80.00,6,caught,4,v Australia,Chennai,18 Mar 2001
1771,Rahul Dravid,India,44,118,67,7,0,65.67,7,caught,2,v Zimbabwe,Bulawayo,7 Jun 2001
1772,Rahul Dravid,India,DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Bulawayo,7 Jun 2001
1773,Rahul Dravid,India,68*,173,115,8,0,59.13,6,not out,1,v Zimbabwe,Harare,15 Jun 2001
1774,Rahul Dravid,India,26,100,79,3,0,32.91,5,caught,3,v Zimbabwe,Harare,15 Jun 2001
1775,Rahul Dravid,India,12,42,28,1,0,42.85,4,caught,1,v Sri Lanka,Galle,14 Aug 2001
1776,Rahul Dravid,India,61*,219,172,6,0,35.46,4,not out,3,v Sri Lanka,Galle,14 Aug 2001
1777,Rahul Dravid,India,15,33,19,3,0,78.94,3,lbw,2,v Sri Lanka,Kandy,22 Aug 2001
1778,Rahul Dravid,India,75,184,123,12,0,60.97,3,caught,4,v Sri Lanka,Kandy,22 Aug 2001
1779,Rahul Dravid,India,36,129,85,2,0,42.35,3,caught,1,v Sri Lanka,Colombo (SSC),29 Aug 2001
1780,Rahul Dravid,India,36,152,124,4,0,29.03,3,run out,3,v Sri Lanka,Colombo (SSC),29 Aug 2001
1781,Rahul Dravid,India,2,15,10,0,0,20.00,2,caught,1,v South Africa,Bloemfontein,3 Nov 2001
1782,Rahul Dravid,India,11,20,17,0,0,64.70,2,caught,3,v South Africa,Bloemfontein,3 Nov 2001
1783,Rahul Dravid,India,2,16,11,0,0,18.18,3,bowled,2,v South Africa,Port Elizabeth,16 Nov 2001
1784,Rahul Dravid,India,87,312,241,12,0,36.09,3,caught,4,v South Africa,Port Elizabeth,16 Nov 2001
1785,Rahul Dravid,India,86,301,206,10,0,41.74,4,lbw,2,v England,Mohali,3 Dec 2001
1786,Rahul Dravid,India,DNB,-,-,-,-,-,-,-,4,v England,Mohali,3 Dec 2001
1787,Rahul Dravid,India,7,93,60,0,0,11.66,3,caught,2,v England,Ahmedabad,11 Dec 2001
1788,Rahul Dravid,India,26*,155,108,2,0,24.07,3,not out,4,v England,Ahmedabad,11 Dec 2001
1789,Rahul Dravid,India,3,73,61,0,0,4.91,5,caught,2,v England,Bengaluru,19 Dec 2001
1790,Rahul Dravid,India,65,235,179,8,0,36.31,3,bowled,2,v Zimbabwe,Nagpur,21 Feb 2002
1791,Rahul Dravid,India,1,13,8,0,0,12.50,5,run out,2,v Zimbabwe,Delhi,28 Feb 2002
