,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
169,Mahela Jayawardena,Sri Lanka,3,27,14,0,0,21.42,4,bowled,1,v Bangladesh,Dhaka,26 Dec 2008
170,Mahela Jayawardena,Sri Lanka,166,391,269,19,1,61.71,4,caught,3,v Bangladesh,Dhaka,26 Dec 2008
171,Mahela Jayawardena,Sri Lanka,11,69,46,1,0,23.91,4,caught,1,v Bangladesh,Chattogram,3 Jan 2009
172,Mahela Jayawardena,Sri Lanka,22,92,92,1,0,23.91,4,caught,3,v Bangladesh,Chattogram,3 Jan 2009
173,Mahela Jayawardena,Sri Lanka,240,531,424,32,0,56.60,4,caught,1,v Pakistan,Karachi,21 Feb 2009
174,Mahela Jayawardena,Sri Lanka,22,58,38,2,0,57.89,5,caught,3,v Pakistan,Karachi,21 Feb 2009
175,Mahela Jayawardena,Sri Lanka,30,88,61,5,0,49.18,4,caught,1,v Pakistan,Lahore,1 Mar 2009
176,Mahela Jayawardena,Sri Lanka,30,82,48,6,0,62.50,4,caught,1,v Pakistan,Galle,4 Jul 2009
177,Mahela Jayawardena,Sri Lanka,0,9,4,0,0,0.00,5,caught,3,v Pakistan,Galle,4 Jul 2009
178,Mahela Jayawardena,Sri Lanka,19,72,53,3,0,35.84,4,caught,2,v Pakistan,Colombo (PSS),12 Jul 2009
179,Mahela Jayawardena,Sri Lanka,37*,50,35,5,0,105.71,4,not out,4,v Pakistan,Colombo (PSS),12 Jul 2009
180,Mahela Jayawardena,Sri Lanka,79,199,153,10,0,51.63,4,bowled,2,v Pakistan,Colombo (SSC),20 Jul 2009
181,Mahela Jayawardena,Sri Lanka,2,29,11,0,0,18.18,4,caught,4,v Pakistan,Colombo (SSC),20 Jul 2009
182,Mahela Jayawardena,Sri Lanka,114,297,227,15,0,50.22,4,caught,1,v New Zealand,Galle,18 Aug 2009
183,Mahela Jayawardena,Sri Lanka,27,52,41,1,0,65.85,4,caught,3,v New Zealand,Galle,18 Aug 2009
184,Mahela Jayawardena,Sri Lanka,92,312,234,8,0,39.31,4,caught,1,v New Zealand,Colombo (SSC),26 Aug 2009
185,Mahela Jayawardena,Sri Lanka,96,232,153,5,1,62.74,4,caught,3,v New Zealand,Colombo (SSC),26 Aug 2009
186,Mahela Jayawardena,Sri Lanka,275,610,435,27,1,63.21,4,bowled,2,v India,Ahmedabad,16 Nov 2009
187,Mahela Jayawardena,Sri Lanka,47,189,125,6,0,37.60,4,caught,2,v India,Kanpur,24 Nov 2009
188,Mahela Jayawardena,Sri Lanka,10,24,21,0,0,47.61,4,run out,3,v India,Kanpur,24 Nov 2009
189,Mahela Jayawardena,Sri Lanka,29,67,63,4,0,46.03,4,caught,1,v India,Mumbai (BS),2 Dec 2009
190,Mahela Jayawardena,Sri Lanka,12,41,24,1,0,50.00,4,caught,3,v India,Mumbai (BS),2 Dec 2009
191,Mahela Jayawardena,Sri Lanka,48,123,78,6,0,61.53,4,lbw,1,v India,Galle,18 Jul 2010
192,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v India,Galle,18 Jul 2010
193,Mahela Jayawardena,Sri Lanka,174,358,244,20,1,71.31,4,caught,1,v India,Colombo (SSC),26 Jul 2010
194,Mahela Jayawardena,Sri Lanka,5,39,34,0,0,14.70,4,lbw,3,v India,Colombo (SSC),26 Jul 2010
195,Mahela Jayawardena,Sri Lanka,56,188,154,3,0,36.36,4,lbw,1,v India,Colombo (PSS),3 Aug 2010
196,Mahela Jayawardena,Sri Lanka,5,27,18,1,0,27.77,5,caught,3,v India,Colombo (PSS),3 Aug 2010
197,Mahela Jayawardena,Sri Lanka,59,149,104,6,0,56.73,4,caught,2,v West Indies,Galle,15 Nov 2010
198,Mahela Jayawardena,Sri Lanka,58,212,134,7,1,43.28,4,caught,3,v West Indies,Galle,15 Nov 2010
199,Mahela Jayawardena,Sri Lanka,2,6,7,0,0,28.57,4,bowled,1,v West Indies,Colombo (RPS),23 Nov 2010
200,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,3,v West Indies,Colombo (RPS),23 Nov 2010
201,Mahela Jayawardena,Sri Lanka,TDNB,-,-,-,-,-,-,-,-,v West Indies,Pallekele,1 Dec 2010
202,Mahela Jayawardena,Sri Lanka,4,46,35,0,0,11.42,4,caught,1,v England,Cardiff,26 May 2011
203,Mahela Jayawardena,Sri Lanka,15,36,32,2,0,46.87,4,caught,3,v England,Cardiff,26 May 2011
204,Mahela Jayawardena,Sri Lanka,49,137,84,8,0,58.33,4,caught,2,v England,Lord's,3 Jun 2011
205,Mahela Jayawardena,Sri Lanka,25,77,71,4,0,35.21,3,caught,4,v England,Lord's,3 Jun 2011
206,Mahela Jayawardena,Sri Lanka,4,39,25,0,0,16.00,4,caught,1,v England,Southampton,16 Jun 2011
207,Mahela Jayawardena,Sri Lanka,6,30,23,1,0,26.08,4,caught,3,v England,Southampton,16 Jun 2011
208,Mahela Jayawardena,Sri Lanka,11,32,29,2,0,37.93,4,run out,2,v Australia,Galle,31 Aug 2011
209,Mahela Jayawardena,Sri Lanka,105,311,231,15,1,45.45,4,bowled,4,v Australia,Galle,31 Aug 2011
210,Mahela Jayawardena,Sri Lanka,4,10,10,0,0,40.00,4,caught,1,v Australia,Pallekele,8 Sep 2011
211,Mahela Jayawardena,Sri Lanka,51,176,133,5,0,38.34,4,caught,3,v Australia,Pallekele,8 Sep 2011
