,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
427,Sachin Tendulkar,India,21,120,76,3,0,27.63,4,caught,1,v South Africa,Bengaluru,2 Mar 2000
428,Sachin Tendulkar,India,20,76,53,2,0,37.73,4,caught,3,v South Africa,Bengaluru,2 Mar 2000
429,Sachin Tendulkar,India,18,63,41,1,0,43.90,5,caught,2,v Bangladesh,Dhaka,10 Nov 2000
430,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,10 Nov 2000
431,Sachin Tendulkar,India,122,283,233,19,0,52.36,4,caught,2,v Zimbabwe,Delhi,18 Nov 2000
432,Sachin Tendulkar,India,39,45,39,8,0,100.00,4,caught,4,v Zimbabwe,Delhi,18 Nov 2000
433,Sachin Tendulkar,India,201*,392,281,27,0,71.53,4,not out,1,v Zimbabwe,Nagpur,25 Nov 2000
434,Sachin Tendulkar,India,76,138,114,13,0,66.66,4,caught,1,v Australia,Mumbai,27 Feb 2001
435,Sachin Tendulkar,India,65,153,107,11,0,60.74,5,caught,3,v Australia,Mumbai,27 Feb 2001
436,Sachin Tendulkar,India,10,25,18,2,0,55.55,4,lbw,2,v Australia,Kolkata,11 Mar 2001
437,Sachin Tendulkar,India,10,26,23,2,0,43.47,4,caught,3,v Australia,Kolkata,11 Mar 2001
438,Sachin Tendulkar,India,126,346,230,15,2,54.78,4,caught,2,v Australia,Chennai,18 Mar 2001
439,Sachin Tendulkar,India,17,27,17,3,0,100.00,4,caught,4,v Australia,Chennai,18 Mar 2001
440,Sachin Tendulkar,India,74,179,128,12,0,57.81,4,caught,2,v Zimbabwe,Bulawayo,7 Jun 2001
441,Sachin Tendulkar,India,36*,41,49,4,0,73.46,4,not out,4,v Zimbabwe,Bulawayo,7 Jun 2001
442,Sachin Tendulkar,India,20,78,46,2,1,43.47,4,bowled,1,v Zimbabwe,Harare,15 Jun 2001
443,Sachin Tendulkar,India,69,185,135,9,0,51.11,4,caught,3,v Zimbabwe,Harare,15 Jun 2001
444,Sachin Tendulkar,India,155,233,184,23,1,84.23,4,caught,1,v South Africa,Bloemfontein,3 Nov 2001
445,Sachin Tendulkar,India,15,60,35,2,0,42.85,4,caught,3,v South Africa,Bloemfontein,3 Nov 2001
446,Sachin Tendulkar,India,1,10,4,0,0,25.00,4,caught,2,v South Africa,Port Elizabeth,16 Nov 2001
447,Sachin Tendulkar,India,22*,54,45,4,0,48.88,4,not out,4,v South Africa,Port Elizabeth,16 Nov 2001
448,Sachin Tendulkar,India,88,229,144,13,0,61.11,5,caught,2,v England,Mohali,3 Dec 2001
449,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,4,v England,Mohali,3 Dec 2001
450,Sachin Tendulkar,India,103,254,197,12,1,52.28,4,caught,2,v England,Ahmedabad,11 Dec 2001
451,Sachin Tendulkar,India,26,87,81,4,0,32.09,4,caught,4,v England,Ahmedabad,11 Dec 2001
452,Sachin Tendulkar,India,90,263,198,13,0,45.45,4,stumped,2,v England,Bengaluru,19 Dec 2001
453,Sachin Tendulkar,India,176,440,316,23,0,55.69,4,caught,2,v Zimbabwe,Nagpur,21 Feb 2002
454,Sachin Tendulkar,India,36,124,119,5,0,30.25,4,lbw,2,v Zimbabwe,Delhi,28 Feb 2002
455,Sachin Tendulkar,India,42,78,52,7,1,80.76,5,lbw,4,v Zimbabwe,Delhi,28 Feb 2002
456,Sachin Tendulkar,India,79,191,136,13,0,58.08,4,lbw,2,v West Indies,Georgetown,11 Apr 2002
457,Sachin Tendulkar,India,117,356,260,14,0,45.00,4,lbw,1,v West Indies,Port of Spain,19 Apr 2002
458,Sachin Tendulkar,India,0,16,4,0,0,0.00,4,lbw,3,v West Indies,Port of Spain,19 Apr 2002
459,Sachin Tendulkar,India,0,4,2,0,0,0.00,4,caught,1,v West Indies,Bridgetown,2 May 2002
460,Sachin Tendulkar,India,8,32,17,1,0,47.05,4,lbw,3,v West Indies,Bridgetown,2 May 2002
461,Sachin Tendulkar,India,0,2,1,0,0,0.00,4,caught,1,v West Indies,St John's,10 May 2002
462,Sachin Tendulkar,India,41,94,63,7,0,65.07,4,bowled,2,v West Indies,Kingston,18 May 2002
